NationalMembers,Cat,NumberofMembersMaleFemaleTotal,Male,Female,Total,PofmembersMaleFemale,MaleP,FemaleP,Pmembers,Pwomen
Algeria,I,718,7,1,8, 87.00 12.00, 87.00, 12.00,0.06, 0.01
Argentina,II,8863151,88,63,151, 58.00 41.00, 58.00, 41.00,1.12, 0.47
Armenia,I,22527,22,5,27, 81.00 18.00, 81.00, 18.00,0.20, 0.04
Australia,IV,29561356,295,61,356, 82.00 17.00, 82.00, 17.00,2.63, 0.45
Austria,II,511566,51,15,66, 77.00 22.00, 77.00, 22.00,0.49, 0.11
Azerbaijan,Terminated,505,5,0,5, 100.00 0.00, 100.00, 0.00,0.04, 0.00
Belgium,IV,11928147,119,28,147, 80.00 19.00, 80.00, 19.00,1.09, 0.21
Brazil,III,16849217,168,49,217, 77.00 22.00, 77.00, 22.00,1.60, 0.36
Bulgaria,I,432669,43,26,69, 62.00 37.00, 62.00, 37.00,0.51, 0.19
Canada,V,27654330,276,54,330, 83.00 16.00, 83.00, 16.00,2.44, 0.40
Chile,II,10526131,105,26,131, 80.00 19.00, 80.00, 19.00,0.97, 0.19
China,VI,628109737,628,109,737, 85.00 14.00, 85.00, 14.00,5.45, 0.81
Taiwan,II,711081,71,10,81, 87.00 12.00, 87.00, 12.00,0.60, 0.07
Colombia,I,27330,27,3,30, 90.00 10.00, 90.00, 10.00,0.22, 0.02
Costa Rica,Interim,202,2,0,2, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Croatia,I,22527,22,5,27, 81.00 18.00, 81.00, 18.00,0.20, 0.04
Cuba,Terminated,505,5,0,5, 100.00 0.00, 100.00, 0.00,0.04, 0.00
Cyprus,I,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Czech Republic,III,12020140,120,20,140, 85.00 14.00, 85.00, 14.00,1.03, 0.15
Denmark,III,811495,81,14,95, 85.00 14.00, 85.00, 14.00,0.70, 0.10
Egypt,III,711485,71,14,85, 83.00 16.00, 83.00, 16.00,0.63, 0.10
Estonia,I,26531,26,5,31, 83.00 16.00, 83.00, 16.00,0.23, 0.04
Ethiopia,I,303,3,0,3, 100.00 0.00, 100.00, 0.00,0.02, 0.00
Finland,II,751489,75,14,89, 84.00 15.00, 84.00, 15.00,0.66, 0.10
France,VII,654231885,654,231,885, 73.00 26.00, 73.00, 26.00,6.54, 1.71
Georgia,Suspended,617,6,1,7, 85.00 14.00, 85.00, 14.00,0.05, 0.01
Germany,VII,617105722,617,105,722, 85.00 14.00, 85.00, 14.00,5.34, 0.78
Ghana,I,112,1,1,2, 50.00 50.00, 50.00, 50.00,0.01, 0.01
Greece,III,10420124,104,20,124, 83.00 16.00, 83.00, 16.00,0.92, 0.15
Honduras,Interim,112,1,1,2, 50.00 50.00, 50.00, 50.00,0.01, 0.01
Hungary,II,612283,61,22,83, 73.00 26.00, 73.00, 26.00,0.61, 0.16
Iceland,I,606,6,0,6, 100.00 0.00, 100.00, 0.00,0.04, 0.00
India,VI,29144335,291,44,335, 86.00 13.00, 86.00, 13.00,2.48, 0.33
Indonesia,I,15520,15,5,20, 75.00 25.00, 75.00, 25.00,0.15, 0.04
Iran,Suspended,36440,36,4,40, 90.00 10.00, 90.00, 10.00,0.30, 0.03
Ireland,I,461157,46,11,57, 80.00 19.00, 80.00, 19.00,0.42, 0.08
Israel,III,9611107,96,11,107, 89.00 10.00, 89.00, 10.00,0.79, 0.08
Italy,VII,514193707,514,193,707, 72.00 27.00, 72.00, 27.00,5.23, 1.43
Japan,VII,70462766,704,62,766, 91.00 8.00, 91.00, 8.00,5.66, 0.46
Jordan,I,303,3,0,3, 100.00 0.00, 100.00, 0.00,0.02, 0.00
Kazakhstan,I,8210,8,2,10, 80.00 20.00, 80.00, 20.00,0.07, 0.01
Korea,III,14526171,145,26,171, 84.00 15.00, 84.00, 15.00,1.26, 0.19
Latvia,I,10313,10,3,13, 76.00 23.00, 76.00, 23.00,0.10, 0.02
Lebanon,Interim,606,6,0,6, 100.00 0.00, 100.00, 0.00,0.04, 0.00
Lithuania,I,19625,19,6,25, 76.00 24.00, 76.00, 24.00,0.18, 0.04
Macedonia,Terminated,011,0,1,1, 0.00 100.00, 0.00, 100.00,0.01, 0.01
Madagascar,Observer,527,5,2,7, 71.00 28.00, 71.00, 28.00,0.05, 0.01
Malaysia,I,8210,8,2,10, 80.00 20.00, 80.00, 20.00,0.07, 0.01
Mexico,III,13834172,138,34,172, 80.00 19.00, 80.00, 19.00,1.27, 0.25
Mongolia,Interim,516,5,1,6, 83.00 16.00, 83.00, 16.00,0.04, 0.01
Morocco,Observer,16117,16,1,17, 94.00 5.00, 94.00, 5.00,0.13, 0.01
Mozambique,Observer,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Netherlands,V,23141272,231,41,272, 84.00 15.00, 84.00, 15.00,2.01, 0.30
New Zealand,II,33538,33,5,38, 86.00 13.00, 86.00, 13.00,0.28, 0.04
Nigeria,I,9110,9,1,10, 90.00 10.00, 90.00, 10.00,0.07, 0.01
Norway,II,401050,40,10,50, 80.00 20.00, 80.00, 20.00,0.37, 0.07
Panama,Interim,415,4,1,5, 80.00 20.00, 80.00, 20.00,0.04, 0.01
Peru,Suspended,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Philippines,I,516,5,1,6, 83.00 16.00, 83.00, 16.00,0.04, 0.01
Poland,IV,15031181,150,31,181, 82.00 17.00, 82.00, 17.00,1.34, 0.23
Portugal,II,591877,59,18,77, 76.00 23.00, 76.00, 23.00,0.57, 0.13
Romania,I,251439,25,14,39, 64.00 35.00, 64.00, 35.00,0.29, 0.10
Russian Federation,V,374102476,374,102,476, 78.00 21.00, 78.00, 21.00,3.52, 0.75
Saudi Arabia,Suspended,12012,12,0,12, 100.00 0.00, 100.00, 0.00,0.09, 0.00
Serbia,I,402060,40,20,60, 66.00 33.00, 66.00, 33.00,0.44, 0.15
Slovakia,I,42345,42,3,45, 93.00 6.00, 93.00, 6.00,0.33, 0.02
Slovenia,I,7310,7,3,10, 70.00 30.00, 70.00, 30.00,0.07, 0.02
South Africa,III,10332135,103,32,135, 76.00 23.00, 76.00, 23.00,1.00, 0.24
Spain,IV,31880398,318,80,398, 79.00 20.00, 79.00, 20.00,2.94, 0.59
Sweden,III,13722159,137,22,159, 86.00 13.00, 86.00, 13.00,1.18, 0.16
Switzerland,III,12719146,127,19,146, 86.00 13.00, 86.00, 13.00,1.08, 0.14
Syrian Arab Republic,Observer,202,2,0,2, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Tajikistan,I,718,7,1,8, 87.00 12.00, 87.00, 12.00,0.06, 0.01
Thailand,I,271542,27,15,42, 64.00 35.00, 64.00, 35.00,0.31, 0.11
Turkey,I,662793,66,27,93, 70.00 29.00, 70.00, 29.00,0.69, 0.20
Ukraine,III,12857185,128,57,185, 69.00 30.00, 69.00, 30.00,1.37, 0.42
United Arab Emirates,II,718,7,1,8, 87.00 12.00, 87.00, 12.00,0.06, 0.01
United Kingdom,VII,636109745,636,109,745, 85.00 14.00, 85.00, 14.00,5.51, 0.81
United States,X,25254943019,2525,494,3019, 83.00 16.00, 83.00, 16.00,22.31, 3.65
Uruguay,Observer,415,4,1,5, 80.00 20.00, 80.00, 20.00,0.04, 0.01
Uzbekistan,Terminated,909,9,0,9, 100.00 0.00, 100.00, 0.00,0.07, 0.00
Vatican City State,I,12012,12,0,12, 100.00 0.00, 100.00, 0.00,0.09, 0.00
Venezuela,I,14721,14,7,21, 66.00 33.00, 66.00, 33.00,0.16, 0.05
Vietnam,Interim,8513,8,5,13, 61.00 38.00, 61.00, 38.00,0.10, 0.04
Albania,O,011,0,1,1, 0.00 100.00, 0.00, 100.00,0.01, 0.01
Andorra,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Angola ,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Bangladesh,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Ecuador,O,112,1,1,2, 50.00 50.00, 50.00, 50.00,0.01, 0.01
Iraq,O,707,7,0,7, 100.00 0.00, 100.00, 0.00,0.05, 0.00
Luxembourg,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Malta,O,202,2,0,2, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Mauritius,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Oman,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Pakistan,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Palestine,O,101,1,0,1, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Puerto Rico,O,011,0,1,1, 0.00 100.00, 0.00, 100.00,0.01, 0.01
Singapore,O,202,2,0,2, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Sri Lanka,O,202,2,0,2, 100.00 0.00, 100.00, 0.00,0.01, 0.00
Trinidad,O,011,0,1,1, 0.00 100.00, 0.00, 100.00,0.01, 0.01
Tunisia,O,112,1,1,2, 50.00 50.00, 50.00, 50.00,0.01, 0.01
